seed,target_deterministic_share,lexical_variation,paired_diff_point,paired_diff_ci_low,paired_diff_ci_high,empirical_winner,bootstrap_resamples,bootstrap_alpha,delta
31017,1.0,False,0.003829787234042592,0.0008510638297871687,0.007234042553191489,tie,2000,0.05,0.02
31018,1.0,False,0.009762900976290179,0.004184100418410108,0.015341701534170138,tie,2000,0.05,0.02
31019,1.0,False,0.0033200531208499307,-0.0006640106241699861,0.007968127490039834,tie,2000,0.05,0.02
31020,1.0,False,0.0053222945002957545,0.0011827321111768097,0.010053222945002882,tie,2000,0.05,0.02
31001,1.0,True,-0.1806167400881057,-0.20411160058737154,-0.15932452276064601,retrieval,2000,0.05,0.02
31002,1.0,True,-0.15630347974900172,-0.1739874500855676,-0.13918996006845408,retrieval,2000,0.05,0.02
31003,1.0,True,-0.21386255924170616,-0.2340047393364929,-0.19312796208530814,retrieval,2000,0.05,0.02
31004,1.0,True,-0.19804951237809454,-0.22055513878469613,-0.17629407351837956,retrieval,2000,0.05,0.02
31005,1.0,True,-0.18093093093093093,-0.20345345345345345,-0.15915915915915912,retrieval,2000,0.05,0.02
31006,1.0,True,-0.2029478458049887,-0.2222222222222222,-0.18367346938775508,retrieval,2000,0.05,0.02
31007,1.0,True,-0.16346713205351948,-0.18208260616637573,-0.14485165794066313,retrieval,2000,0.05,0.02
31008,1.0,True,-0.18484848484848482,-0.20545454545454545,-0.1648484848484849,retrieval,2000,0.05,0.02
31009,1.0,True,-0.17281272595806219,-0.19378163412870575,-0.151120751988431,retrieval,2000,0.05,0.02
31010,1.0,True,-0.17681312863949172,-0.1948120698782424,-0.15828480677607204,retrieval,2000,0.05,0.02
31011,1.0,True,-0.19781783681214427,-0.21489563567362435,-0.18121442125237186,retrieval,2000,0.05,0.02
31012,1.0,True,-0.1697976878612717,-0.19219653179190754,-0.14739884393063585,retrieval,2000,0.05,0.02
